2019-09-26,19:46:38.781432,2002
2019-09-26,19:46:48.727269,2002
2019-09-26,19:46:59.144466,2002
2019-09-26,19:47:08.774272,2002
2019-09-26,19:47:19.646601,2002
2019-09-26,19:47:32.232896,2002
2019-09-26,19:47:39.195474,2000
2019-09-26,19:47:49.166770,2001
2019-09-26,19:47:59.146453,2001
2019-09-26,19:48:08.839301,2001
2019-09-26,19:48:19.204467,2001
2019-09-26,19:48:28.820070,2001
2019-09-26,19:48:38.769052,1996
2019-09-26,19:48:49.227048,1996
2019-09-26,19:48:58.945675,1996
2019-09-26,19:49:08.773359,1994
2019-09-26,19:49:19.193962,1993
2019-09-26,19:49:28.837720,1993
2019-09-26,19:49:38.732542,1993
2019-09-26,19:49:49.090930,1996
2019-09-26,19:49:59.052561,1996
2019-09-26,19:50:08.866911,1996
2019-09-26,19:50:19.311506,1990
2019-09-26,19:50:28.843342,1990
2019-09-26,19:50:39.712753,1989
2019-09-26,19:50:49.050769,1989
2019-09-26,19:50:58.991461,1990
2019-09-26,19:51:08.711315,1990
2019-09-26,19:51:18.918906,1990
2019-09-26,19:51:28.656075,1992
2019-09-26,19:51:38.793820,1992
2019-09-26,19:51:48.744534,1994
2019-09-26,19:51:59.169844,1993
2019-09-26,19:52:09.280184,1992
2019-09-26,19:52:18.703120,1993
2019-09-26,19:52:28.845525,1995
2019-09-26,19:52:39.273375,1992
2019-09-26,19:52:48.725274,1992
2019-09-26,19:52:59.040611,1994
2019-09-26,19:53:09.217383,1997
2019-09-26,19:53:18.822470,1994
2019-09-26,19:53:29.066402,1996
2019-09-26,19:53:39.207311,1996
2019-09-26,19:53:48.735270,1996
2019-09-26,19:53:58.855244,1996
2019-09-26,19:54:09.094630,1994
2019-09-26,19:54:18.904469,1996
2019-09-26,19:54:28.991107,1994
2019-09-26,19:54:39.733516,1992
2019-09-26,19:54:48.814427,1993
2019-09-26,19:54:58.728924,1993
2019-09-26,19:55:09.105116,1995
2019-09-26,19:55:18.898005,1995
2019-09-26,19:55:28.788974,1995
2019-09-26,19:55:39.051399,1999
2019-09-26,19:55:48.723103,1998
2019-09-26,19:55:58.761227,1998
2019-09-26,19:56:08.989872,1998
2019-09-26,19:56:19.701253,1997
2019-09-26,19:56:29.001431,1998
2019-09-26,19:56:38.837160,1997
2019-09-26,19:56:49.121593,1997
2019-09-26,19:56:58.774786,1997
2019-09-26,19:57:08.900749,1997
2019-09-26,19:57:19.014298,1997
2019-09-26,19:57:28.869720,1996
2019-09-26,19:57:41.943038,1997
2019-09-26,19:57:49.032871,2000
2019-09-26,19:57:58.864293,2001
2019-09-26,19:58:08.683865,2001
2019-09-26,19:58:19.899061,1996
2019-09-26,19:58:29.110606,1998
2019-09-26,19:58:38.947716,1998
2019-09-26,19:58:49.266337,1995
2019-09-26,19:58:59.180482,1995
2019-09-26,19:59:08.816716,1995
2019-09-26,19:59:18.700286,1995
2019-09-26,19:59:29.311283,1994
2019-09-26,19:59:38.729739,1994
2019-09-26,19:59:48.835312,1994
2019-09-26,19:59:58.703544,1994
2019-09-26,20:00:08.734288,1993
2019-09-26,20:00:18.704227,1993
2019-09-26,20:00:28.690928,1993
2019-09-26,20:00:38.717618,1993
2019-09-26,20:00:48.737968,1994
2019-09-26,20:00:58.743630,1993
2019-09-26,20:01:09.027193,1994
2019-09-26,20:01:18.971104,1994
2019-09-26,20:01:29.025237,1994
2019-09-26,20:01:39.251568,1993
2019-09-26,20:01:48.793393,1993
2019-09-26,20:01:58.811893,1992
2019-09-26,20:02:08.825910,1992
2019-09-26,20:02:19.097840,1989
2019-09-26,20:02:28.761925,1989
2019-09-26,20:02:38.857916,1989
2019-09-26,20:02:49.085094,1991
2019-09-26,20:02:59.213129,1993
2019-09-26,20:03:08.738604,1991
2019-09-26,20:03:19.067882,1993
2019-09-26,20:03:28.723309,1993
2019-09-26,20:03:38.941029,1993
2019-09-26,20:03:53.757822,1993
2019-09-26,20:03:58.700231,1993
2019-09-26,20:04:09.049120,1993
2019-09-26,20:04:18.719498,1993
2019-09-26,20:04:28.737465,1993
2019-09-26,20:04:38.700622,1992
2019-09-26,20:04:49.205371,1992
2019-09-26,20:04:58.708563,1992
